code,resource_key,file,duration_seconds,sample_rate_hz,channels,integrated_lufs,true_peak_dbtp,loop_test_required_seconds,crossfade_ms,status,manual_checks
V02,voice_phrase_02,dw_ref_vox_hair_wash_phrase_02_oneshot_sc_hair_center_v02_t01.wav,2.6,48000,2,-37.73,-20.42,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V03,voice_phrase_03,dw_ref_vox_hair_wash_phrase_03_oneshot_sc_hair_center_v02_t01.wav,2.95,48000,2,-42.03,-23.1,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V04,voice_phrase_04,dw_ref_vox_hair_wash_phrase_04_oneshot_sc_hair_center_v02_t01.wav,4.55,48000,2,-41.52,-22.57,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V05,voice_phrase_05,dw_ref_vox_hair_wash_phrase_05_oneshot_sc_hair_center_v02_t01.wav,4.15,48000,2,-40.82,-21.9,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V06,voice_phrase_06,dw_ref_vox_hair_wash_phrase_06_oneshot_sc_hair_center_v02_t01.wav,4.4,48000,2,-41.78,-20.93,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V07,voice_phrase_07,dw_ref_vox_hair_wash_phrase_07_oneshot_sc_hair_center_v02_t01.wav,4.15,48000,2,-39.04,-17.95,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V08,voice_phrase_08,dw_ref_vox_hair_wash_phrase_08_oneshot_sc_hair_center_v02_t01.wav,3.05,48000,2,-47.99,-27.72,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V09,voice_phrase_09,dw_ref_vox_hair_wash_phrase_09_oneshot_sc_hair_center_v02_t01.wav,4.05,48000,2,-45.13,-24.7,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V10,voice_phrase_10,dw_ref_vox_hair_wash_phrase_10_oneshot_sc_hair_center_v02_t01.wav,3.7,48000,2,-35.31,-15.16,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V11,voice_phrase_11,dw_ref_vox_hair_wash_phrase_11_oneshot_sc_hair_center_v02_t01.wav,3.95,48000,2,-41.16,-21.1,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V12,voice_phrase_12,dw_ref_vox_hair_wash_phrase_12_oneshot_sc_hair_center_v02_t01.wav,3.65,48000,2,-42.66,-26.1,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V13,voice_phrase_13,dw_ref_vox_hair_wash_phrase_13_oneshot_sc_hair_center_v02_t01.wav,3.98,48000,2,-38.61,-19.13,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V14,voice_phrase_14,dw_ref_vox_hair_wash_phrase_14_oneshot_sc_hair_center_v02_t01.wav,3.87,48000,2,-39.5,-20.61,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V15,voice_phrase_15,dw_ref_vox_hair_wash_phrase_15_oneshot_sc_hair_center_v02_t01.wav,3.88,48000,2,-42.27,-18.91,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V16,voice_phrase_16,dw_ref_vox_hair_wash_phrase_16_oneshot_sc_hair_center_v02_t01.wav,4.15,48000,2,-40.27,-20.64,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V17,voice_phrase_17,dw_ref_vox_hair_wash_phrase_17_oneshot_sc_hair_center_v02_t01.wav,3.7,48000,2,-40.39,-23.7,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V18,voice_phrase_18,dw_ref_vox_hair_wash_phrase_18_oneshot_sc_hair_center_v02_t01.wav,2.32,48000,2,-43.93,-27.07,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V19,voice_phrase_19,dw_ref_vox_hair_wash_phrase_19_oneshot_sc_hair_center_v02_t01.wav,3.3,48000,2,-43.31,-20.52,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
V20,voice_phrase_20,dw_ref_vox_hair_wash_phrase_20_oneshot_sc_hair_center_v02_t01.wav,7.55,48000,2,-33.52,-15.0,0,0,sample_copy_pass;duration_pass;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
